Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x1d1ca86cdb4790ae860a1198c1a6bd5db7a61f0f9d8880df2b27c96e66a6ca34","(Pending)","Transfer","(Pending)","2025-04-01 02:31:44","0x4c17ada639ff474a845cec4fac252739de27a9c9","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0x543376da6c8e791e92d5a03c76a256efc2a5275d501541042281592bbc2274e8","(Pending)","Transfer","(Pending)","2025-04-01 02:31:42","0xc81b09d4e478a251f4dacdaee93fd88f6bac623c","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0x0bc31d5cbdf7a044ecf1b3854f4fea10a5cff016898f186c3f6cf43fa843077f","(Pending)","Transfer","(Pending)","2025-04-01 02:31:42","0x6b5c1e1d496b9370498f1d3b2213e0604dfc4fd2","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0x14d40c3d13f856ac9b5e324677cdf1d13558e2bf1a0f98ebf2f090aa5d83c7c0","(Pending)","Transfer","(Pending)","2025-04-01 02:31:39","0x7c5830cb1a1efe898dcd5cf401165cb952508ccc","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0x1e51c763960dd39ddba9bf371dc0449e94b26d382db5ede2f9bc4eaa94bd6807","(Pending)","Permit","(Pending)","2025-04-01 02:31:39","0xc6b61b776367b236648399acf4a0bc5ade70708f","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0xc450e7462dffde35b4397cb90159f9cc2d6b0bc91f69653c7114e0f587ce15ef","(Pending)","Transfer","(Pending)","2025-04-01 02:31:39","0xf89d7b9c864f589bbf53a82105107622b35eaa40","Bybit: Hot Wallet","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0xa8f211a0d7395b5ed2c7ad875d07d18595a715124445f856a9f8863866d285aa","(Pending)","Transfer","(Pending)","2025-04-01 02:31:39","0x46340b20830761efd32832a74d7169b29feb9758","Crypto.com 2","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0x4a320a66d042e9d0eb62a28a76736963c66773fb3fcef78a7d23e715b16ce5fd","(Pending)","Approve","(Pending)","2025-04-01 02:31:36","0x58f062aa856eb7e1085435b2ae97aa90bd4b3b74","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0xa630e0e676418cd5e85c168d28d0cd986fd98b70238cb541e63080163d82bdf6","(Pending)","Transfer","(Pending)","2025-04-01 02:31:31","0x28c6c06298d514db089934071355e5743bf21d60","Binance 14","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0x7ba3eaeaf171378ccbce30e167bfc6b08af4119e42509be2d2315d2c8667c7d1","(Pending)","Transfer","(Pending)","2025-04-01 02:31:31","0x26c50e673fca05131c9b9f23d213b977d9a34c77","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
"0x817afd849c7886af8f77652751f3260e29ec3d467540736b463f0ddff4c2caa7","(Pending)","Transfer","(Pending)","2025-04-01 02:31:31","0xee3d480296c77c372470e659bd032b6897f73328","","0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","Circle: USDC Token","0 ETH","$0.00","(Pending)"
